affiliate_id_18,function,title,role,management_level,role_level,role_imputed
a0dRi000001zo0vIAA,Consulting,IT Risk & Data Consultant,,Manages self/projects - 1,,IT Risk & Data Consultant
a0d3300000GI7WFAA1,Technology / Systems,Technical Analyst Trainee,,Manages function(s) - 4,Junior-level (0-3 years),Technical Analyst Trainee
a0dRi000002JIUjIAO,Marketing / Communications / External Relations,Marketing Service Assistant,,Manages self/projects - 1,,Marketing Service Assistant
a0dRi0000014Rc9IAE,Operations,Junior Executive Geo Scientist,,Manages a group - 5,,Junior Executive Geo Scientist
a0dRi0000029Y4XIAU,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,,Teacher
a0d3300000FXwBbAAL,Program and Project Management,"Program Coordinator, Diversity Program, Alumni Affairs",,Manages self/projects - 1,,"Program Coordinator, Diversity Program, Alumni Affairs"
a0d40000003M8r9AAC,Human Capital / Human Resources,,Partner,Manages managers - 3,,Partner
a0dRi000001vzm9IAA,Marketing / Communications / External Relations,Project Manager,,Manages others - 2,,Project Manager
a0d3300000FfacaAAB,Legal Services,,Judicial Intern,Manages self/projects - 1,Junior-level (0-3 years),Judicial Intern
a0d40000003KyEbAAK,General Management,,Managing Director,,,Managing Director
a0d40000001gYHEAA2,Consulting,,Partner,,,Partner
a0d40000000zNdgAAE,General Management,,Director of Youth Programs,,,Director of Youth Programs
a0df300000HOfLvAAL,,,Manager,,,Manager
a0dRi000002Y0u5IAC,Technology / Systems,Business analyst - Capstone project,,Manages others - 2,,Business analyst - Capstone project
a0d3300000FYRHuAAP,Finance / Budgeting / Accounting,,Financial Analyst,Manages self/projects - 1,Junior to Mid-level (3-5 years),Financial Analyst
a0df300000HOf7dAAD,,,Data Analyst,,,Data Analyst
a0df300000Hg7x7AAB,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,,Teacher
a0df300000HH8fAAAT,Operations,Business Operations Manager,,Manages others - 2,,Business Operations Manager
a0dRi000005HRovIAG,Development / Grant-making,Development Manager,,Manages self/projects - 1,,Development Manager
a0d3300000Fe5ZHAAZ,Marketing / Communications / External Relations,,Assistant Marketing Coordinator,Manages self/projects - 1,Junior-level (0-3 years),Assistant Marketing Coordinator
a0dRi000001yvajIAA,Other,Youth Ministry Director,,Manages others - 2,,Youth Ministry Director
a0d3300000EXaQEAA1,Development / Grant-making,,Communications Manager,,,Communications Manager
a0d3300000EXJsCAAX,Academics (Teaching & Learning),,Corps Member,,,Corps Member
a0df300000EqAvRAAV,Operations,Lead Canvass Director,,Manages a group - 5,,Lead Canvass Director
a0d4000000D1IK9AAN,Legal Services,,Legal Counsel,,,Legal Counsel
a0df300000H1CbbAAF,Academics (Teaching & Learning),FUSE Architect Teacher leader/ Program manager,,Manages others - 2,,FUSE Architect Teacher leader/ Program manager
a0d3300000FYSPNAA5,Finance / Budgeting / Accounting,Mortgage Underwriter,Mortgage Underwriter,Manages self/projects - 1,Junior to Mid-level (3-5 years),Mortgage Underwriter
a0df300000H9NA4AAN,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,,Teacher
a0df300000H2dWzAAJ,Program and Project Management,Performance & Evaluations Chair,,Manages managers - 3,,Performance & Evaluations Chair
a0dRi000002Kh7iIAC,Academics (Teaching & Learning),Pre-K Lead Teacher,,Manages a group - 5,,Pre-K Lead Teacher
a0d3300000EXanzAAD,,,College Adviser,,,College Adviser
a0d3300000G4C6CAAV,Operations,Security Receptionist,,Manages function(s) - 4,Junior to Mid-level (3-5 years),Security Receptionist
a0d3300000EipXqAAJ,General Management,"Vice President, Research and Evaluation",,,,"Vice President, Research and Evaluation"
a0df300000HOfCmAAL,,,PwC Deals Manager,,,PwC Deals Manager
a0d3300000EinwkAAB,Academics (Teaching & Learning),,Assistant Principal,,Junior-level (0-3 years),Assistant Principal
a0d3300000F5Y2KAAV,,,Graduate School Fellow,,,Graduate School Fellow
a0d40000008uawVAAQ,General Management,,Founder and Principal,,,Founder and Principal
a0d3300000FYVx2AAH,Finance / Budgeting / Accounting,,Assistant Manager,Manages others - 2,Senior-level (10+ years),Assistant Manager
a0d4y00000FxZq2AAF,Operations,Air Traffic Control Operator Specialist,,Manages managers - 3,,Air Traffic Control Operator Specialist
a0d3300000GVERJAA5,Academics (Teaching & Learning),7th Grade English Teacher,,Manages self/projects - 1,Mid-level (5-7 years),7th Grade English Teacher
a0d4y00000FxhVWAAZ,,,Managing Director of Program Design,,,Managing Director of Program Design
a0d40000007CBmZAAW,Strategy and Planning,,Program Director,,,Program Director
a0d3300000FduCYAAZ,Program and Project Management,,"Program Coordinator, Inclusion Initiatives & Cultural Competence",Manages others - 2,Junior to Mid-level (3-5 years),"Program Coordinator, Inclusion Initiatives & Cultural Competence"
a0d3300000EXRleAAH,,,Customer Service Representative,Manages managers - 3,,Customer Service Representative
a0dRi000002FbvlIAC,,,Founder,Manages organization - 6,Senior-level (10+ years),Founder
