,affiliate_id_18,function,title,role,management_level,role_level
21136,a0d3300000EXneHAAT,Academics (Teaching & Learning),,Business English Teacher,Manages self/projects - 1,Junior-level (0-3 years)
85937,a0dRi000002YOhtIAG,School Leadership / Administration,"Head of Department,Geology",,Manages a group - 5,
4730,a0d3300000EWzhUAAT,,,,,
325,a0d3300000CT99UAAT,Consulting,,Independent Business Consultant,,
80081,a0dRi000000uib3IAA,Data / Analytics / Research,Sr. Recruitment Specialist & Project Manager,,Manages function(s) -  4,
56469,a0d40000001ejqoAAA,,,Partner,,
35012,a0d3300000Fh85dAAB,Academics (Teaching and Learning),Achievement Support Initiatives Coach,Achievement Support Initiatives Coach,Manages self/projects,Junior to Mid-level
44369,a0d3300000GV2KsAAL,Consulting,Summer MBA Associate,,Manages self/projects,Junior to Mid-level
3869,a0d3300000EWyOQAA1,,,,,
101866,a0df300000H36u2AAB,Consulting,Consultant,,Manages self/projects - 1,
19180,a0d3300000EXZOEAA5,Academics (Teaching & Learning),,Special Education Math Teacher - 7th grade,,
35468,a0d3300000FmCmxAAF,Data / Analytics / Research,Research Assistant,,Manages self/projects - 1,Junior-level (0-3 years)
4946,a0d3300000EX7YHAA1,,,Resource Specialist,,
83259,a0dRi00000215FpIAI,Academics (Teaching & Learning),Instructional Associate,,Manages self/projects - 1,
75007,a0d4y00000HeaIXAAZ,Program and Project Management,Interim Campus Director,,Manages a group - 5,
32696,a0d3300000FeEERAA3,Data / Analytics / Research,,Graduate Research Assistant,Manages self/projects - 1,Junior-level (0-3 years)
82349,a0dRi000001oVsrIAE,General Management,Senior Civil Engineer/Project Manager,,Manages a group - 5,
108635,a0df300000HXjsVAAT,Finance / Budgeting / Accounting,Intern,,Manages self/projects - 1,
69553,a0d40000009JR9wAAG,Operations,,BUILD - E1 Program Assistant,,
886,a0d3300000EVpR0AAL,Academics (Teaching & Learning),,English Language Professor,Manages others - 2,Junior to Mid-level (3-5 years)
105842,a0df300000HOfLXAA1,,,Senior Analyst,,
84551,a0dRi000002GsMfIAK,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,
31108,a0d3300000FdwvDAAR,Academics (Teaching & Learning),Teaching Assistant,,Manages others - 2,Junior-level (0-3 years)
25148,a0d3300000FYSFXAA5,Data / Analytics / Research,,Senior Analyst,Manages self/projects - 1,Junior to Mid-level (3-5 years)
28643,a0d3300000FYkW9AAL,Academics (Teaching & Learning),,Teacher,Manages self/projects - 1,Junior-level (0-3 years)
32253,a0d3300000Fe4d9AAB,Policy / Advocacy,,Student Body President,Manages organization - 6,Senior-level (10+ years)
21720,a0d3300000EipX8AAJ,General Management,Assessment and DDI Director,,,
38103,a0d3300000G7qKnAAJ,Program and Project Management,Executive Director,,Manages organization - 6,Senior-level (10+ years)
108805,a0df300000HXo6xAAD,Academics (Teaching & Learning),History Teacher,,Manages self/projects - 1,
91918,a0df300000EqZW5AAN,,,Program Manager,,
65014,a0d40000007D3nIAAS,,,Institutional Development (EP Fellow),,
30067,a0d3300000FdoQsAAJ,Finance / Budgeting / Accounting,,Assistant to the Compliance Officer,Manages self/projects - 1,Junior-level (0-3 years)
76132,a0d4y00000I4R4jAAF,Operations,Operations Manager,,Manages others - 2,
56496,a0d40000001ejyZAAQ,,,,,
96473,a0df300000H10vKAAR,Academics (Teaching & Learning),Instructor,,Manages others - 2,
35704,a0d3300000FmT9dAAF,Operations,,Assistant Director of EVS,Manages others - 2,Junior-level (0-3 years)
109385,a0df300000HgE0OAAV,Other,User Advocate,,Manages self/projects - 1,
47055,a0d3300000GasSxAAJ,School Leadership / Administration,Assistant Principal,,Manages others,Mid-level
33737,a0d3300000Ffa6BAAR,Operations,,Campaign Services Specialist,Manages others - 2,Junior to Mid-level (3-5 years)
20634,a0d3300000EXb1FAAT,Operations,,MET Team Lead,,
6,a0d3300000CSzrgAAD,General Management,,CEO,,
7213,a0d3300000EXIyNAAX,,,,,
100051,a0df300000H2MMhAAN,Academics (Teaching & Learning),Reading Intervention Specialist,,Manages self/projects - 1,
90939,a0df300000EqFuCAAV,Consulting,Senior Educational Consultant; Student Services Director,,Manages self/projects - 1,
67822,a0d400000091gTtAAI,Operations,,Operations Manager,Manages others - 2,
24349,a0d3300000FYQpNAAX,Academics (Teaching & Learning),,Principal-Graduate faculty,Manages others - 2,Junior to Mid-level (3-5 years)
84166,a0dRi000002AMEDIA4,Other,Compliance Services Associate,,Manages self/projects - 1,
52301,a0d40000000xoClAAI,General Management,,Director of Career Services,,
40509,a0d3300000GIXKRAA5,Social Services / Social Work,Service Coordinator,,Manages self/projects,Junior-level
3858,a0d3300000EWyNZAA1,Finance / Budgeting / Accounting,,,Manages self/projects - 1,
44085,a0d3300000GUb8wAAD,Technology / Systems,Software Engineer,,Manages self/projects,Junior-level
24665,a0d3300000FYS5MAAX,Academics (Teaching & Learning),,Science Lab Specialist,Manages others - 2,Junior to Mid-level (3-5 years)
64480,a0d40000007CrhvAAC,Program and Project Management,,"Program Manager, Earned Income Tax Coalition",,
25187,a0d3300000FYSGLAA5,Data / Analytics / Research,,Evaluation Specialist,Manages self/projects - 1,Junior to Mid-level (3-5 years)
43772,a0d3300000GUExFAAX,Consulting,Consultant,,Manages self/projects,Junior to Mid-level
44101,a0d3300000GUbHvAAL,Data / Analytics / Research,Exchange Traded Fund Accountant,,Manages self/projects,Junior to Mid-level
57291,a0d40000001gKQjAAM,,,,,
46174,a0d3300000GahtMAAR,Academics (Teaching and Learning),Academic Resources Teaching Assistant,,Manages self/projects,Junior to Mid-level
39860,a0d3300000GGPUeAAP,Academics (Teaching and Learning),8th Grade ELA Teacher,,Manages self/projects,Mid to Senior-level
74231,a0d4y00000H7V2OAAV,Program and Project Management,Program Assistant,,Manages others - 2,
23370,a0d3300000FAWezAAH,Data / Analytics / Research,,Research Manager,Manages others - 2,
4216,a0d3300000EWyrZAAT,,,,,
